"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"FID1,FID3,FID4,FID6";"Fiducial1x3";4;"Fiducial";;;
2;"C1,C2,C5,C4";"C_0603_5MIL_DWS";4;"22uF/6.3V/20%/X5R/C0603";;;
3;"R12,R1,R5";"R_0402_5MIL_DWS";3;"10k/R0402";;;
4;"R13,R3,R18,R17";"R_0402_5MIL_DWS";4;"2.2k/R0402";;;
5;"D2,D1";"SOD-123_1C-2A_KA";2;"1N5819S4/SOD123";;;
6;"BAT1";"LIPO_BAT_VERTICAL_DW02S";1;"DW02S";;;
7;"R15,R14";"R_0402_5MIL_DWS";2;"33k/R0402";;;
8;"FID2,FID5";"Fiducial1x3_Paste";2;"Fiducial";;;
9;"LED1";"LED_0603_KA";1;"LED/Green/0603";;;
10;"MH1,MH2,MH3,MH4";"Mounting_Hole_Drill-3.3mm_Clerance-7mm";4;"Mounting_Hole_NPTH";;;
11;"U3";"ESP32-­C3-­MINI­-1";1;"ESP32-C3-MINI-1-N4";;;
12;"CHARGING1";"LED_0603_KA";1;"LED/YELLOW/0603";;;
13;"BUT1";"YTS-A016-X";1;"YTS-A016-X";;;
14;"U1";"SOT-23-5";1;"TP4054-42-SOT25-R";;;
15;"C7";"C_0603_5MIL_DWS";1;"1uF/10V/10%/X5R/C0603";;;
16;"USB-C1";"USB2.0_TYPE-C(A40-00119-A52-12)";1;"USB-C-16P-F(A40-00119-A52-12)";;;
17;"UEXT1";"GBH-254-SMT-10";1;"P-B-V-10-LF";;;
18;"BAT_PWR_E1,BAT_SENS_E1,PWR_SENS_E1";"SJ_1_SMALLER";3;"Opened";;;
19;"R6,R7,R9";"R_0402_5MIL_DWS";3;"470k/R0402";;;
20;"R8,R10";"R_0402_5MIL_DWS";2;"220k/R0402";;;
21;"L1";"CD32";1;"2.2uH/NRS3015T2R2MNGH/1.5A/3.00x3.00x1.50mm";;;
22;"R11";"R_0402_5MIL_DWS";1;"49.9k/1%/R0402";;;
23;"C3,C6";"C_0402_5MIL_DWS";2;"100nF/10V/10%/X7R/C0402";;;
24;"FET1";"SOT23";1;"IRLML6402TRPbF";;;
25;"EXT1,EXT2";"HN1x9";2;"HN1x9";;;
26;"R2,R4";"R_0402_5MIL_DWS";2;"5.1k/R0402";;;
27;"U2";"SOT-23-5";1;"SY8089AAAC(SOT23-5)";;;
28;"Logo_OLIMEX_2";"Logo_OLIMEX_80";1;"Logo_OLIMEX_2";;;
29;"Sign_CE";"CE_Sign";1;"CE_Sign";;;
30;"Sign_Antistatic";"Sign_Antistatic";1;"Sign_Antistatic";;;
31;"Sign_PB-Free";"Sign_PB-Free";1;"Sign_PB-Free";;;
32;"Sign_RecycleBin_1";"Sign_RecycleBin_1";1;"Sign_RecycleBin_1";;;
33;"R16";"R_0402_5MIL_DWS";1;"100R/R0402";;;
